中国,#genre#
HBO_HITS,http://smt.iktv.ddns-ip.net/Smart.php?id=hbohit_twn
CINEMAX,http://smt.iktv.ddns-ip.net/Smart.php?id=cinemax_twn
好萊塢電影台,http://smt.iktv.ddns-ip.net/Smart.php?id=hollywoodmovies_twn
卫视电影台,http://smt.iktv.ddns-ip.net/Smart.php?id=weishimovie_twn
龙祥时代,http://smt.iktv.ddns-ip.net/Smart.php?id=lungxiangtime_twn
美亚电影,http://smt.iktv.ddns-ip.net/Smart.php?id=meiyamovie_twn
華藝綜合,http://smt.iktv.ddns-ip.net/Smart.php?id=weishichinese_twn
博斯运动一台,http://smt.iktv.ddns-ip.net/Smart.php?id=bosisport1_twn
博斯运动二台,http://smt.iktv.ddns-ip.net/Smart.php?id=bosisport2_twn
博斯高球一台,http://smt.iktv.ddns-ip.net/Smart.php?id=bosigolf1_twn
博斯高球二台,http://smt.iktv.ddns-ip.net/Smart.php?id=bosigolf2_twn
博斯网球台,http://smt.iktv.ddns-ip.net/Smart.php?id=bositennis_twn
博斯无限台,http://smt.iktv.ddns-ip.net/Smart.php?id=bosiunlimited_twn
好消息 2,http://smt.iktv.ddns-ip.net/Smart.php?id=good2_twn

新加坡,#genre#
Channel 5,http://smt.iktv.ddns-ip.net/Smart.php?id=Channel5HD
Channel 8,http://smt.iktv.ddns-ip.net/Smart.php?id=Channel8HD
Suria,http://smt.iktv.ddns-ip.net/Smart.php?id=Suria
Channel U,http://smt.iktv.ddns-ip.net/Smart.php?id=ChannelU
Vasantham,http://smt.iktv.ddns-ip.net/Smart.php?id=Vasantham
CNA,http://smt.iktv.ddns-ip.net/Smart.php?id=cna
CNA backup,http://smt.iktv.ddns-ip.net/Smart.php?id=cna_twn
MeWatch Ch 5,http://smt.iktv.ddns-ip.net/Smart.php?id=Mewatch_ch5
MeWatch Ch 8,http://smt.iktv.ddns-ip.net/Smart.php?id=Mewatch_ch8
MeWatch Ch U,http://smt.iktv.ddns-ip.net/Smart.php?id=Mewatch_chU
MeWatch Suria,http://smt.iktv.ddns-ip.net/Smart.php?id=Mewatch_Suria
MeWatch Vasantham,http://smt.iktv.ddns-ip.net/Smart.php?id=Mewatch_Vasantham
MeWatch CNA,http://smt.iktv.ddns-ip.net/Smart.php?id=Mewatch_cna

马来西亚,#genre#
TV1,http://smt.iktv.ddns-ip.net/Smart.php?id=TV1
TV1 backup,http://smt.iktv.ddns-ip.net/Smart.php?id=TV1_backup
TV2,http://smt.iktv.ddns-ip.net/Smart.php?id=TV2
TV3,http://smt.iktv.ddns-ip.net/Smart.php?id=TV3
TV3 SD,http://smt.iktv.ddns-ip.net/Smart.php?id=TV3_mega
NTV7,http://smt.iktv.ddns-ip.net/Smart.php?id=NTV7
TV8,http://smt.iktv.ddns-ip.net/Smart.php?id=TV8
TV9,http://smt.iktv.ddns-ip.net/Smart.php?id=TV9
Ria,http://smt.iktv.ddns-ip.net/Smart.php?id=Ria
Ria-3,http://smt.iktv.ddns-ip.net/Smart.php?id=Ria_backup
Al-Hijrah,http://smt.iktv.ddns-ip.net/Smart.php?id=Alhijrah
Al-Hijrah backup,http://smt.iktv.ddns-ip.net/Smart.php?id=Alhijrah_backup
Awani,http://smt.iktv.ddns-ip.net/Smart.php?id=Awani
Bernama,http://smt.iktv.ddns-ip.net/Smart.php?id=Bernama
Prima,http://smt.iktv.ddns-ip.net/Smart.php?id=Prima
Prima backup,http://smt.iktv.ddns-ip.net/Smart.php?id=AAprima1
Prima backup 2,http://smt.iktv.ddns-ip.net/Smart.php?id=AAprima
Ceria,http://smt.iktv.ddns-ip.net/Smart.php?id=Ceria
MTV,http://smt.iktv.ddns-ip.net/Smart.php?id=AstroMTV
Mecca Live HD,http://smt.iktv.ddns-ip.net/Smart.php?id=quran_mido
Madinah HD,http://smt.iktv.ddns-ip.net/Smart.php?id=sunnah_mido
Oasis,http://smt.iktv.ddns-ip.net/Smart.php?id=Oasis
HBO HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Hbo
HBO Signature,http://smt.iktv.ddns-ip.net/Smart.php?id=Hbosignature
HBO Hits,http://smt.iktv.ddns-ip.net/Smart.php?id=Hbohitshd
NatGeo Wild HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Natgeowild
Cartoon Network,http://smt.iktv.ddns-ip.net/Smart.php?id=Cn
Nickelodeon,http://smt.iktv.ddns-ip.net/Smart.php?id=Nickelodeon
Nick Jr,http://smt.iktv.ddns-ip.net/Smart.php?id=Nickjr
Dreamworks,http://smt.iktv.ddns-ip.net/Smart.php?id=Dreamworks
Siar,http://smt.iktv.ddns-ip.net/Smart.php?id=Siar
Citra,http://smt.iktv.ddns-ip.net/Smart.php?id=AAcitra
Citra backup,http://smt.iktv.ddns-ip.net/Smart.php?id=AAcitra1
Sensasi,http://smt.iktv.ddns-ip.net/Smart.php?id=Sensasi
Aura,http://smt.iktv.ddns-ip.net/Smart.php?id=Aura
Rania,http://smt.iktv.ddns-ip.net/Smart.php?id=Rania
KBS World,http://smt.iktv.ddns-ip.net/Smart.php?id=KBS
Boo,http://smt.iktv.ddns-ip.net/Smart.php?id=Boo
Awesome TV,http://smt.iktv.ddns-ip.net/Smart.php?id=Dsangat
Sonypix,http://smt.iktv.ddns-ip.net/Smart.php?id=Asonypix
Sony HD,http://smt.iktv.ddns-ip.net/Smart.php?id=SetOne
TvN,http://smt.iktv.ddns-ip.net/Smart.php?id=TVN
