中国,#genre#
RTHK32 (50),http://50.7.234.10:8278/rhk32_twn/playlist.m3u8?tid=MBCB4455322944553229&ct=19226&tsum=60bac13753ada5abc8873783d6611ebd
RTHK32 (pe),http://pelotas.org:8278/rhk32_twn/playlist.m3u8?tid=MBCB4455322944553229&ct=19226&tsum=60bac13753ada5abc8873783d6611ebd
RTHK32 (198),http://198.16.100.186:8278/rhk32_twn/playlist.m3u8?tid=MDBD4704174447041744&ct=19249&tsum=763ebe53fc33677d02ebf83b4d558d33
RTHK32 (50),http://50.7.234.10:8278/rhk32_twn/playlist.m3u8?tid=MDBD4704174447041744&ct=19249&tsum=763ebe53fc33677d02ebf83b4d558d33
RTHK32 (pe),http://pelotas.org:8278/rhk32_twn/playlist.m3u8?tid=MDBD4704174447041744&ct=19249&tsum=763ebe53fc33677d02ebf83b4d558d33
RTHK32 (198),http://198.16.100.186:8278/rhk32_twn/playlist.m3u8?tid=MD9D3680764436807644&ct=19234&tsum=6c3d17c15f8d4a4a0537ef1cb7c1cc45
RTHK32 (50),http://50.7.234.10:8278/rhk32_twn/playlist.m3u8?tid=MD9D3680764436807644&ct=19234&tsum=6c3d17c15f8d4a4a0537ef1cb7c1cc45
RTHK32 (pe),http://pelotas.org:8278/rhk32_twn/playlist.m3u8?tid=MD9D3680764436807644&ct=19234&tsum=6c3d17c15f8d4a4a0537ef1cb7c1cc45
VIUTV (198),http://198.16.100.186:8278/viu1_twn/playlist.m3u8?tid=MF9F2344917423449174&ct=19254&tsum=3cb061ac749a32280d3b88c022a1403f
VIUTV (50),http://50.7.234.10:8278/viu1_twn/playlist.m3u8?tid=MF9F2344917423449174&ct=19254&tsum=3cb061ac749a32280d3b88c022a1403f
VIUTV (pe),http://pelotas.org:8278/viu1_twn/playlist.m3u8?tid=MF9F2344917423449174&ct=19254&tsum=3cb061ac749a32280d3b88c022a1403f
VIUTV 6 (198),http://198.16.100.186:8278/viusix_twn/playlist.m3u8?tid=MC6C1412376614123766&ct=19225&tsum=f4273425d435057616c3380b9e2a0287
VIUTV 6 (50),http://50.7.234.10:8278/viusix_twn/playlist.m3u8?tid=MC6C1412376614123766&ct=19225&tsum=f4273425d435057616c3380b9e2a0287
VIUTV 6 (pe),http://pelotas.org:8278/viusix_twn/playlist.m3u8?tid=MC6C1412376614123766&ct=19225&tsum=f4273425d435057616c3380b9e2a0287
VIUTV 6 (198),http://198.16.100.186:8278/viusix_twn/playlist.m3u8?tid=MF0F4217630642176306&ct=19249&tsum=33becc0fe8466036420dbbb4727dc49e
VIUTV 6 (50),http://50.7.234.10:8278/viusix_twn/playlist.m3u8?tid=MF0F4217630642176306&ct=19249&tsum=33becc0fe8466036420dbbb4727dc49e
VIUTV 6 (pe),http://pelotas.org:8278/viusix_twn/playlist.m3u8?tid=MF0F4217630642176306&ct=19249&tsum=33becc0fe8466036420dbbb4727dc49e
TVBE L1,http://line.greatstar.me/play/live.php?mac=00:1A:79:1c:0a:6f&extension=ts&stream=153398
TVBE L2,http://line.greatstar.me/play/live.php?mac=00:1A:79:B3:14:BB&extension=ts&stream=153398
TVBE L3,http://line.greatstar.me/play/live.php?mac=00:1A:79:87:3e:0e&extension=ts&stream=153398
天映頻道 MY L1,http://line.greatstar.me/play/live.php?mac=00:1A:79:1c:0a:6f&extension=ts&stream=571218
天映頻道 MY L2,http://line.greatstar.me/play/live.php?mac=00:1A:79:B3:14:BB&extension=ts&stream=571218
天映頻道 MY L3,http://line.greatstar.me/play/live.php?mac=00:1A:79:87:3e:0e&extension=ts&stream=571218
天映经典 MY L1,http://line.greatstar.me/play/live.php?mac=00:1A:79:1c:0a:6f&extension=ts&stream=571182
天映经典 MY L2,http://line.greatstar.me/play/live.php?mac=00:1A:79:B3:14:BB&extension=ts&stream=571182
天映经典 MY L3,http://line.greatstar.me/play/live.php?mac=00:1A:79:87:3e:0e&extension=ts&stream=571182
翡翠台 L1,http://line.greatstar.me/play/live.php?mac=00:1A:79:1c:0a:6f&extension=ts&stream=153505
翡翠台 L2,http://line.greatstar.me/play/live.php?mac=00:1A:79:B3:14:BB&extension=ts&stream=153505
翡翠台 L3,http://line.greatstar.me/play/live.php?mac=00:1A:79:87:3e:0e&extension=ts&stream=153505
翡翠台(B) L1,http://line.greatstar.me/play/live.php?mac=00:1A:79:1c:0a:6f&extension=ts&stream=571187
翡翠台(B) L2,http://line.greatstar.me/play/live.php?mac=00:1A:79:B3:14:BB&extension=ts&stream=571187
翡翠台(B) L3,http://line.greatstar.me/play/live.php?mac=00:1A:79:87:3e:0e&extension=ts&stream=571187
无线新闻台 L1,http://line.greatstar.me/play/live.php?mac=00:1A:79:1c:0a:6f&extension=ts&stream=153399
无线新闻台 L2,http://line.greatstar.me/play/live.php?mac=00:1A:79:B3:14:BB&extension=ts&stream=153399
无线新闻台 L3,http://line.greatstar.me/play/live.php?mac=00:1A:79:87:3e:0e&extension=ts&stream=153399
TVB千禧经典台 L1,http://line.greatstar.me/play/live.php?mac=00:1A:79:1c:0a:6f&extension=ts&stream=153503
TVB千禧经典台 L2,http://line.greatstar.me/play/live.php?mac=00:1A:79:B3:14:BB&extension=ts&stream=153503
TVB千禧经典台 L3,http://line.greatstar.me/play/live.php?mac=00:1A:79:87:3e:0e&extension=ts&stream=153503
TVB1 HK L1,http://line.greatstar.me/play/live.php?mac=00:1A:79:1c:0a:6f&extension=ts&stream=153396
TVB1 HK L2,http://line.greatstar.me/play/live.php?mac=00:1A:79:B3:14:BB&extension=ts&stream=153396
TVB1 HK L3,http://line.greatstar.me/play/live.php?mac=00:1A:79:87:3e:0e&extension=ts&stream=153396
TVB1 L1,http://line.greatstar.me/play/live.php?mac=00:1A:79:1c:0a:6f&extension=ts&stream=153401
TVB1 L2,http://line.greatstar.me/play/live.php?mac=00:1A:79:B3:14:BB&extension=ts&stream=153401
TVB1 L3,http://line.greatstar.me/play/live.php?mac=00:1A:79:87:3e:0e&extension=ts&stream=153401
TVBJ1 L1,http://line.greatstar.me/play/live.php?mac=00:1A:79:1c:0a:6f&extension=ts&stream=153395
TVBJ1 L2,http://line.greatstar.me/play/live.php?mac=00:1A:79:B3:14:BB&extension=ts&stream=153395
TVBJ1 L3,http://line.greatstar.me/play/live.php?mac=00:1A:79:87:3e:0e&extension=ts&stream=153395
